Claim Number,Claim Feature,Policy Number,Policy Effective Date,Loss Description,Type of injury,Loss state,Loss Date,Insured Company Name,Paid Indemnity,Paid DCC,Outstanding Indemnity,Outstanding DCC,Adjuster Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0139,Waterslide Injury,POL-GL-890123,2023-08-01,Waterslide joint separation injured riders,Bodily Injury,FL,2024-07-25,Splash World Water Park,187000,44000,0,0,"07/25/2024 - Waterslide sections separated while riders going through. Two children fell through gap onto concrete. | 07/26/2024 - Victims: Siblings Emma (9) and Josh (11) Martinez. Emma unconscious, Josh compound fractures. | 07/28/2024 - Investigation: Slide connections corroded from chlorine. Inspection company never checked joints. | 08/01/2024 - Emma in coma for 5 days. Traumatic brain injury with uncertain recovery timeline. | 08/05/2024 - Josh required multiple surgeries on both legs. May have permanent limp. Scarring extensive. | 08/10/2024 - Previous reports of slide 'bumps' ignored. Maintenance deferred to avoid closing popular attraction. | 08/18/2024 - Family retained Leesfield Scolaro. Park's history of safety violations being investigated. | 08/25/2024 - Medical costs exceeding $300K. Emma requires 24/7 care currently. | 09/05/2024 - Settled $187K. Park closed permanently. Criminal investigation ongoing.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0140,Axe Throwing,POL-GL-234567,2024-03-01,Axe bounced back striking thrower,Bodily Injury,OR,2024-01-15,Portland Axe Club,94000,21000,0,0,"01/15/2024 - Axe hit target wrong and bounced directly back, striking thrower in chest. Embedded 2 inches deep. | 01/16/2024 - Victim: Tech worker Brian Kim (32). Miraculous miss of heart by 1 inch. Lung punctured. | 01/18/2024 - Investigation: Target wood was wrong type - too hard. Axes not properly maintained - dull. | 01/22/2024 - No trained staff present. Self-service model with just waiver. No safety briefing provided. | 01/28/2024 - Kim developed infection post-surgery. Extended ICU stay. Permanent lung capacity reduction. | 02/05/2024 - Attorney: Stoll Berne. Gross negligence claim based on industry standards violations. | 02/15/2024 - Other incidents discovered: 4 previous bounce-back injuries. Owner called them 'part of the sport'. | 02/28/2024 - Medical bills $78K. Kim cannot return to recreational sports. Career impact as cycling enthusiast. | 03/15/2024 - Settled $94K. Facility implemented major safety overhaul. Insurance required changes.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0141,Mall Escalator,POL-GL-456789,2023-10-01,Child's foot trapped in escalator,Bodily Injury,IL,2024-02-28,Westfield Shopping Centers,156000,38000,0,0,"02/28/2024 - 6-year-old's foot trapped where escalator step meets side panel. Severed tendons before emergency stop. | 03/01/2024 - Victim: Lily Chang. Wearing soft shoes that got pulled into gap. Screaming heard throughout mall. | 03/03/2024 - Investigation: Side panels gaps exceeded code. Multiple previous entrapments not properly addressed. | 03/07/2024 - Surgery to repair tendons unsuccessful. Child may never walk normally. Ballet dreams crushed. | 03/12/2024 - Prior incidents: 7 entrapments in 2 years. Mall's solution was signs, not fixing mechanical issue. | 03/20/2024 - Parents retained Corboy & Demetrio. Premier personal injury firm taking case. | 04/01/2024 - Additional surgeries planned but prognosis poor. Permanent limp likely. Psychological impact severe. | 04/15/2024 - Mall knew of defect from manufacturer bulletin. Chose not to retrofit due to cost. | 05/01/2024 - Settled $156K. Mall finally fixing all escalators. Too late for Lily.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0142,Laser Tag Collision,POL-GL-678901,2024-01-01,Players collided in dark arena causing injury,Bodily Injury,TX,2024-03-20,Houston Laser Battle Arena,68000,15000,0,0,"03/20/2024 - Two players ran full speed into each other in dark arena. One suffered severe concussion, other broken nose. | 03/21/2024 - Victims: College athlete Jessica Davis (concussion) and teenager Ryan Park (broken nose, dental damage). | 03/23/2024 - Investigation: Arena removed obstacle markers to make game harder. No safety briefing given. | 03/27/2024 - Davis showing post-concussion syndrome. Had to drop out of semester. Athletic scholarship in jeopardy. | 04/02/2024 - Previous collisions reported frequently. Owner's response was 'sign better waivers'. | 04/10/2024 - Arena's insurance had lapsed. Operating without coverage when accident occurred. | 04/20/2024 - Attorneys: Davis - Mithoff Law Firm. Significant damages for lost education and athletics. | 05/05/2024 - Medical bills combined $52K. Davis may need additional semester, scholarship impact. | 05/20/2024 - Settled $68K. Personal assets of owner attached. Business shuttered.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0143,Moving Company,POL-GL-890123,2023-11-01,Movers dropped piano down stairs onto customer,Bodily Injury/Property Damage,MA,2024-04-15,Boston Professional Movers,112000,26000,0,0,"04/15/2024 - Movers lost grip on grand piano on stairs. Crushed customer Margaret Thompson's leg, destroyed heirloom piano. | 04/16/2024 - Victim: Retired music teacher (68). Compound fractures requiring rod insertion. Piano was grandmother's from 1920s. | 04/18/2024 - Investigation: Movers not trained on piano moving. Wrong equipment. Should have declined job. | 04/22/2024 - Piano appraised at $45K pre-loss. Irreplaceable family heirloom. Emotional distress significant. | 04/28/2024 - Thompson developed infection post-surgery. Extended hospital stay. May need knee replacement. | 05/05/2024 - Previous claims: Company dropped 3 pianos in past year. No specialized training implemented. | 05/15/2024 - Attorney: Keches Law Group. Clear negligence in accepting specialty move without capability. | 05/30/2024 - Medical $67K, piano value $45K. Settled $112K. Company now subcontracts piano moves.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0144,Dog Daycare,POL-GL-234567,2024-02-01,Dog escaped and bit pedestrian,Bodily Injury,CA,2024-05-30,Pampered Paws Pet Resort,89000,21000,0,0,"05/30/2024 - Pit bull escaped through broken fence at daycare, attacked jogger on sidewalk. Severe bite wounds. | 05/31/2024 - Victim: Marathon runner Janet Williams (34). Calf muscle torn, 40+ stitches. Rabies shots required. | 06/02/2024 - Investigation: Fence damage reported by staff week prior. Temporary fix with zip ties failed. | 06/05/2024 - Dog had history of aggression. Owner warned daycare. Accepted anyway for the revenue. | 06/10/2024 - Williams' running career impacted. Missed Boston Marathon qualification by 2 months recovery. | 06/18/2024 - Prior escapes: 3 dogs escaped in past year. Lucky no injuries until now. | 06/25/2024 - Attorney: Bisnar Chase. Strict liability plus negligence for known dangerous condition. | 07/10/2024 - Medical bills $45K, lost endorsement income $20K. Permanent scarring. | 07/25/2024 - Settled $89K. Daycare's license suspended. Major safety overhaul required.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0145,Conference Center,POL-GL-456789,2023-12-01,Ceiling tiles fell during corporate event,Bodily Injury/Property Damage,NY,2024-06-15,Manhattan Event Spaces LLC,134000,31000,0,0,"06/15/2024 - During Fortune 500 conference, water-logged ceiling tiles collapsed onto attendees. Mass casualty scene. | 06/16/2024 - Injuries: CEO Lisa Chen (concussion), CFO Robert Taylor (neck injury), plus 8 others with various injuries. | 06/18/2024 - Investigation: Roof leak reported months ago. Tiles saturated but hidden above grid. | 06/22/2024 - Event was major product launch. Ruined by accident. Stock price dropped 5%. | 06/28/2024 - Prior incidents: Similar collapses in other rooms. Pattern of deferred maintenance clear. | 07/05/2024 - Chen showing cognitive symptoms. Major deals on hold. Company claiming business losses. | 07/15/2024 - Mass litigation forming. White & Case representing corporate victims. | 07/30/2024 - Combined medical bills $98K. Business interruption claims in millions. | 08/15/2024 - Settled bodily injury for $134K. Property damage and BI claims ongoing separately.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0146,Rock Climbing Gym,POL-GL-678901,2024-03-01,Auto-belay device failed dropping climber,Bodily Injury,CO,2024-07-20,Denver Vertical Adventures,225000,61000,0,0,"07/20/2024 - Auto-belay device failed to engage. Climber fell 30 feet to concrete floor. Catastrophic injuries. | 07/21/2024 - Victim: Emily Patterson (26) aerospace engineer. Spinal cord injury at T12. Paralysis below waist. | 07/23/2024 - Investigation: Device missed last two inspections. Staff signed off without actually checking. | 07/27/2024 - Prior failures: Same device had 'stuttering' reported by climbers. Management ignored complaints. | 08/01/2024 - Patterson was training for Everest expedition. Dreams destroyed along with mobility. | 08/08/2024 - Life care plan: $3.5M for lifetime medical, modifications, care. Lost earnings $4M+. | 08/15/2024 - Attorney: Holland & Hart. Clear negligence, altered records discovered. | 08/25/2024 - Criminal charges for falsifying safety records filed. Gym closed by state order. | 09/05/2024 - Settled at policy limits $225K. Victim pursuing personal assets of owners.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0147,Batting Cage,POL-GL-890123,2023-07-01,Pitching machine threw ball at spectator area,Bodily Injury,CA,2024-01-25,Home Run Training Facility,76000,17000,0,0,"01/25/2024 - Pitching machine malfunctioned, fired baseball into spectator area. Struck child in head. | 01/26/2024 - Victim: 8-year-old Tommy Martinez watching sister practice. Skull fracture, emergency surgery. | 01/28/2024 - Investigation: Machine's directional control known faulty. Duct tape 'repair' failed. | 02/01/2024 - Child survived but with traumatic brain injury. Speech and motor skills affected. | 02/05/2024 - Previous incidents: Machine threw wild pitches regularly. Owner too cheap to replace. | 02/12/2024 - Special education needs emerging. Child was gifted student, now struggling. | 02/20/2024 - Parents retained Panish Shea Boyle Ravipudi. Life care plan being developed. | 03/05/2024 - Medical costs $125K and rising. Future care needs substantial. | 03/20/2024 - Settled $76K plus agreement to close facility. Owner's other businesses under scrutiny.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0148,Parasailing Accident,POL-GL-234567,2024-01-01,Parasail line snapped in high winds,Bodily Injury,FL,2024-02-10,Gulf Coast Water Sports,298000,87000,0,0,"02/10/2024 - Parasail line snapped in 25mph winds. Couple carried inland, crashed into hotel building. | 02/11/2024 - Victims: Honeymooners David and Marie Johnson. Both with multiple trauma injuries. | 02/13/2024 - Weather service had small craft advisory. Operator went out anyway for the money. | 02/17/2024 - David: broken back, paralyzed below waist. Marie: shattered pelvis, internal injuries. | 02/22/2024 - Investigation: Line was worn, overdue for replacement. Previous close calls ignored. | 03/01/2024 - Couple's life destroyed. David was contractor, cannot work. Marie was trying to conceive. | 03/10/2024 - Attorney: Leesfield Scolaro. Maritime law complications but clear negligence. | 03/25/2024 - Medical costs exceeding $400K. Lifetime care needs in millions. | 04/10/2024 - Settled $298K (policy limits). Additional claims against hotel, manufacturers pending.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0149,Brewery Tour,POL-GL-456789,2023-09-01,Visitor fell into brewing tank during tour,Bodily Injury,OR,2024-03-15,Portland Craft Brewery Co,142000,33000,0,0,"03/15/2024 - Tour guest leaned over to look into fermenting tank, railing gave way. Fell 15 feet into beer. | 03/16/2024 - Victim: Jessica Chen (29) nearly drowned in beer. Chemical burns from fermenting solution. | 03/18/2024 - Investigation: Railing was decorative only, not meant to support weight. No warnings posted. | 03/22/2024 - Burns required skin grafts on 20% of body. Scarring will be permanent. | 03/28/2024 - Prior incidents: Two other near-falls reported. Brewery's response was verbal warnings only. | 04/05/2024 - Chen worked as sommelier. Cannot work around alcohol due to trauma. Career ended. | 04/15/2024 - Attorney: Stoll Berne. Premises liability clear, plus negligent design of tour route. | 04/30/2024 - Medical bills $115K. Lost earnings calculated at $1.5M over career. | 05/15/2024 - Settled $142K. Brewery redesigned entire tour with proper safety barriers.",,,,,,,,,,,,,,,,,,,,,,,,,,
GL-2024-0150,Apartment Fire Escape,POL-GL-678901,2024-02-01,Fire escape collapsed during evacuation,Bodily Injury,NY,2024-04-20,Brooklyn Heights Properties,276000,74000,0,0,"04/20/2024 - During 3am fire alarm, fire escape collapsed with 8 tenants on it. Catastrophic failure. | 04/21/2024 - Three deaths, five severely injured. 100-year-old building with deferred maintenance. | 04/23/2024 - Investigation: Fire escape rusted through at connection points. Paint hid structural damage. | 04/27/2024 - Survivors: Maria Gonzalez (amputated leg), John Kim (paralyzed), others with fractures. | 05/02/2024 - Building had failed inspection 2 years ago. Owner got extensions through political connections. | 05/10/2024 - Mass litigation forming. Families retained Kreindler & Kreindler. Wrongful death and catastrophic injury. | 05/20/2024 - Criminal charges filed against owner and inspector who signed off. | 06/01/2024 - Media coverage intense. City-wide fire escape inspections ordered. | 06/15/2024 - Partial settlement $276K for injured. Death claims ongoing. Nine-figure exposure.",,,,,,,,,,,,,,,,,,,,,,,,,,
